,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
3633,male,53 y.o.,"Clute, TX, USA",divorced,jaghmex,white,Supervisor,-,from 37 to 45,no children,Straight,Muslim,non-smoker,social drinker,Serious Relationship,USA
3636,male,51 y.o.,"Houston, TX, USA",divorced,Jc007,white,construction,-,from 33 to 50,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",USA
3638,male,44 y.o.,"Elizabeth, CO 80107, USA",single,davidm7,asian,-,-,from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3644,male,42 y.o.,"New York, NY, USA",single,charliestylee,hispanic,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
3648,male,46 y.o.,"Albertville, AL, USA",divorced,alfonzolaguna,hispanic,welder,soy trabajador y muy responsable en mis obligaciones,from 33 to 42,want children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",USA
3657,female,51 y.o.,"Wilmington, DE, USA",single,ninaa,mixed,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,USA
3658,male,58 y.o.,"Boston, MA, USA",divorced,robofrobfame,white,Systems Engineer,-,from 35 to 60,don't want children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",USA
3681,male,48 y.o.,"Cincinnati, OH, USA",divorced,jayb234,white,-,-,from 23 to 38,no children,Straight,Christian,non-smoker,social drinker,Romance,USA
3683,male,33 y.o.,"Irondale, AL, USA",single,char0712,hispanic,cosinero,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship",USA
3685,female,51 y.o.,"Fort Lauderdale, FL, USA",separated,Nicole45,mixed,Head Nurse,-,from 19 to 86,1-2 living with me,Bisexual,Other,social smoker,social drinker,Friendship,USA
3694,female,-,"Ocala, FL, USA",-,carenw,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3703,female,50 y.o.,"Dallas, TX, USA",single,Kimberly73,mixed,RN,-,from 40 to 60,1-2 living with me,Straight,Christian,social smoker,social drinker,Marriage,USA
3705,female,64 y.o.,"Fayette, MO 65248, USA",widowed,lovesmovies12,white,Retail,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3707,male,58 y.o.,"Kansas City, MO, USA",single,Drum4u65,white,Construction,"Im 5'10"" tall. Weigh 160. Im esay going.. Well mannered.. I love music and playing drums in my band...",from 30 to 49,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3713,male,41 y.o.,"Washington, DC, USA",single,Angelsanchez,hispanic,Entrenador de box,Me encanta el ejercicio el cuidarme soy una persona muy entusiasta alegre siempre con una sonrisa por delante a un cuando se me complique la vida siempre pienso que todo tiene soluci??n menos la muete,from 23 to 39,no children,Bisexual,Christian,non-smoker,never,Serious Relationship,USA
3724,male,-,"Riverside, CA, USA",-,ramonc23456,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3727,male,59 y.o.,"Honolulu, HI, USA",single,janosn,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship,USA
3731,female,39 y.o.,"Atlanta, GA, USA",single,Carolina85,hispanic,-,-,from 25 to 86,more than 2 living with me,Bisexual,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3741,male,27 y.o.,"Lawrence, MA, USA",single,Jean29,hispanic,Salesman,-,from 19 to 26,no children,Straight,Other,non-smoker,social drinker,Serious Relationship,USA
3743,female,29 y.o.,"Paintsville, KY, USA",single,lcdawgs10,white,Nurse,-,from 23 to 31,want children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance",USA
3751,male,50 y.o.,"Dallas, TX, USA",divorced,JpGonz,hispanic,-,-,from 32 to 48,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,USA
3758,female,-,"Grosse Pointe, MI, USA",-,deborahm234,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3761,female,60 y.o.,"Ruther Glen, VA 22546, USA",divorced,anitas2,white,-,-,from 47 to 60,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
3771,male,28 y.o.,"Colorado Springs, CO, USA",single,Chuck216,white,Electrician,-,from 19 to 86,want children,Straight,Other,light smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
3773,male,60 y.o.,"Kansas City, MO, USA",single,Lonelyguy,white,Maintenance,-,from 45 to 58,don't want children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",USA
3775,male,35 y.o.,"Manassas, VA, USA",single,Elvin,hispanic,-,-,from 28 to 58,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,USA
3776,male,30 y.o.,"Miami, FL, USA",single,Curbelo,white,-,-,from 19 to 86,want children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3777,male,57 y.o.,"Philadelphia, PA, USA",single,Eric9966,black,Care Giver-Music producer,i would like to Produce music and give back to my community and make homes for the homeless and make community Centers for the kids and for those who are on drugs and alcohol,from 20 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship",USA
3778,female,52 y.o.,"Dothan, AL, USA",divorced,maom,hispanic,-,-,from 40 to 47,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3781,male,45 y.o.,"Tampa, FL, USA",divorced,Crusader9112001,white,-,"An awesome guy with an awesome personality, and one hell of a sucker for Irish women",from 19 to 86,want children,Straight,Other,non-smoker,social drinker,"Romance, Serious Relationship",USA
3788,female,31 y.o.,"San Antonio, TX, USA",separated,aryam,hispanic,-,-,from 28 to 33,more than 2 living with me,Straight,Other,light smoker,occasional drinker,"Friendship, Serious Relationship",USA
3796,male,48 y.o.,"Philadelphia, PA 19104, USA",in relationship,Joserivera2323,hispanic,-,-,from 19 to 86,1-2 living with me,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance",USA
3797,male,55 y.o.,"Blue Springs, MO, USA",divorced,Christopher1968,white,Equal Opportunity Manager,-,from 19 to 86,want children,Straight,Christian,light smoker,occasional drinker,Marriage,USA
3798,male,41 y.o.,"Kellerton, IA 50133, USA",separated,Bigdale,white,Farmer,-,from 21 to 45,no children,Straight,Other,light smoker,occasional drinker,"Fun, Friendship, Romance",USA
3804,female,56 y.o.,"Knoxville, TN, USA",divorced,iluv2read,white,Title Clerk,-,from 49 to 56,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",USA
3806,female,56 y.o.,"Winchester, VA 22601, USA",separated,luzm1,hispanic,-,-,from 45 to 61,don't want children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",USA
3808,male,27 y.o.,"Baton Rouge, LA, USA",single,Redfish48,black,Landscaping,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Friendship,USA
3811,female,67 y.o.,"Leesburg, VA, USA",divorced,jenshadus,white,Systems Engineer,-,from 50 to 65,no children,Straight,Christian,non-smoker,social drinker,Friendship,USA
3812,male,55 y.o.,"Alma, AR 72921, USA",divorced,Rio68,hispanic,Supervisor,-,from 34 to 45,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship,USA
3816,male,51 y.o.,"Chicago, IL, USA",separated,jaime70,native american,-,-,from 30 to 55,more than 2 living elsewhere,Straight,Spiritual,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3818,female,53 y.o.,"Brooklyn, WI 53521, USA",divorced,purpledolphin,white,Job Coach,-,from 34 to 58,1-2 living with me,Straight,Spiritual,non-smoker,never,Serious Relationship,USA
3820,male,47 y.o.,"San Bernardino, CA, USA",single,Lokz00,hispanic,Self-employed,-,from 19 to 49,no children,Straight,Christian,light smoker,occasional drinker,Fun,USA
3824,female,26 y.o.,"Detroit, MI, USA",single,Avlynn,white,CNA,-,from 19 to 86,no children,Straight,Other,light smoker,social drinker,Fun,USA
3825,male,40 y.o.,"Jacksonville, FL, USA",single,edwardof,hispanic,-,-,from 32 to 45,1-2 living elsewhere,Straight,Christian,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3826,male,33 y.o.,"Imperial, CA, USA",single,dfunforall,hispanic,-,-,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3831,male,-,"New York, NY, USA",-,manuell23,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3832,female,70 y.o.,"Kansas City, MO, USA",widowed,Royal2018,black,Small Business Owner - Consultant,-,from 19 to 86,no children,Straight,Christian,social smoker,social drinker,"Friendship, Romance, Serious Relationship",USA
3833,female,52 y.o.,"Denver, CO, USA",widowed,CoGal34,white,Sales,-,from 19 to 86,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,"Romance, Serious Relationship",USA
3846,male,44 y.o.,"Orlando, FL, USA",divorced,jeant2,black,-,-,from 25 to 33,want children,Straight,Spiritual,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3852,male,62 y.o.,"Hallsville, MO 65255, USA",widowed,robertm5,white,-,-,from 45 to 60,1-2 living elsewhere,Straight,Spiritual,chain smoker,never,Serious Relationship,USA
3858,male,68 y.o.,"Riverside, CA, USA",single,chrise23,black,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Romance,USA
3866,female,50 y.o.,"Hingham, MA, USA",separated,alysonh,white,-,-,from 39 to 49,1-2 living with me,Straight,Christian,non-smoker,social drinker,Fun,USA
3868,female,56 y.o.,"Richardson, TX, USA",divorced,Chasejohnna,black,IT Manager,"A kind, loving and outgoing woman with a good sense of humor, into keeping fit and loves to cook for family and friends.",from 44 to 59,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship",USA
3870,male,-,"Philadelphia, PA, USA",-,jordanm,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3887,male,43 y.o.,"Hagerstown, MD, USA",single,robertc23456789,mixed,-,-,from 19 to 43,1-2 living elsewhere,Straight,Spiritual,light smoker,occasional drinker,"Romance, Serious Relationship, Marriage",USA
3898,male,47 y.o.,"Haskell, Wanaque, NJ 07420, USA",single,rbasak99,asian,self employed,-,from 19 to 86,no children,Straight,Hindu,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3904,female,-,"Whitehall, PA, USA",-,danam2,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3906,male,46 y.o.,"White Plains, NY, USA",separated,Peni,hispanic,-,-,from 25 to 45,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,USA
3912,male,66 y.o.,"Madison, WI, USA",separated,LittleBigDaddy,white,food service,"I'm a temporarily stay-at-home single parent with income and home school (summer break) my beautiful 8 yr old son. I'm a serious foodie since my Dad had been a master meat (beef only) cutter for 25 yrs. I like to eat so I love to cook (menu and specialties available on request). I also enjoy edible gardening, live (eclectic) music, outdoor and water activities, and much more.",from 19 to 55,1-2 living with me,Straight,Christian,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",USA
3913,male,32 y.o.,"New York, NY, USA",single,Manuel8420,hispanic,-,-,from 19 to 55,want children,Straight,Christian,non-smoker,never,Marriage,USA
3918,female,60 y.o.,"Naples, FL, USA",widowed,jjvass,white,-,"I am a sweet loving women , dont like drama , i like the country life , i have some critters , the beach flea markets , etc , spending time by the pool , love to bbq and listen to music , bonfires in the winter , looking for some one that likes the same , and go from their , life is to short to be alone , i know your out their , we just havent meet yet ,",from 19 to 86,no children,Straight,Other,light smoker,social drinker,"Romance, Serious Relationship",USA
3920,male,43 y.o.,"Forest Park, GA 30297, USA",single,blur,white,-,-,from 19 to 40,1-2 living elsewhere,Straight,Spiritual,chain smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3921,male,31 y.o.,"Greenfield, MA 01301, USA",single,robertb1,white,-,-,from 20 to 26,want children,Straight,Christian,light smoker,social drinker,Serious Relationship,USA
3924,female,26 y.o.,"Eutawville, SC 29048, USA",single,Countryangel21,white,-,-,from 19 to 86,want children,Straight,Christian,social smoker,occasional drinker,Serious Relationship,USA
3930,male,52 y.o.,"Hickory, NC, USA",separated,LucioMG,hispanic,Mec??nico automotriz,Soy hombre de una sola mujer trabajador a tiempo completo responsable con mis obligaciones ideas de superaci??n se pedir perd??n y perdonar risue??o y cari??oso,from 30 to 38,more than 2 living elsewhere,Straight,Atheist,non-smoker,never,Serious Relationship,USA
3931,male,79 y.o.,"Seattle, WA, USA",divorced,garys23,white,-,-,from 19 to 86,don't want children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,USA
3948,male,56 y.o.,"Houston, TX, USA",separated,amandob,hispanic,-,-,from 19 to 86,no children,Bisexual,Christian,non-smoker,occasional drinker,"Fun, Friendship",USA
3953,male,45 y.o.,"Tampa, FL, USA",divorced,dave1010,white,pilot,-,from 30 to 40,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",USA
3964,female,61 y.o.,"Bloomfield, CT, USA",divorced,Cjewett,white,Consultant IT,"Hi. I?€?m looking for a partner who is an active person. I?€?m into martial arts, riding horses and training for obstacle races. If your into staying healthy and contributing to the community is important than we should talk.",from 40 to 60,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,USA
3965,male,-,"Converse, TX, USA",-,edb,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
3968,male,71 y.o.,"Austin, TX, USA",divorced,NATX3,white,Retired,-,from 56 to 70,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",USA
3970,female,69 y.o.,"Spring Hill, FL, USA",widowed,Chiki1210,white,Retired,-,from 58 to 70,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship,USA
3971,male,49 y.o.,"San Francisco, CA, USA",divorced,likestosmile,white,project management,Positive outlook and forward momentum are best when shared,from 28 to 50,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",USA
3985,male,34 y.o.,"Naples, FL, USA",single,lnyftr,white,masonary,-,from 19 to 56,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Serious Relationship",USA
3993,male,46 y.o.,"Barberton, OH 44203, USA",divorced,mikeh23,white,-,-,from 30 to 50,1-2 living elsewhere,Straight,Other,social smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
3995,male,41 y.o.,"Salt Lake City, UT, USA",divorced,JaguarSLC18,hispanic,Dise??ador gr??fico,-,from 24 to 86,want children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
3997,male,54 y.o.,"Smithfield, UT 84335, USA",single,johns1,white,-,-,from 19 to 86,1-2 living with me,Straight,Atheist,light smoker,occasional drinker,Serious Relationship,USA
3999,male,45 y.o.,"Pensacola, FL, USA",single,bigsexymoser,white,ph.d of sports,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,USA
4003,female,67 y.o.,"Portland, IN 47371, USA",single,pjjh75,white,retired,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,light smoker,never,Serious Relationship,USA
4019,male,38 y.o.,"Adamsville, RI 02801, USA",single,Mz16,hispanic,Construction,-,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,Fun,USA
4022,male,49 y.o.,"Walterboro, SC 29488, USA",single,erikn,white,-,-,from 25 to 45,1-2 living elsewhere,Straight,Christian,light smoker,never,"Romance, Serious Relationship",USA
4026,male,53 y.o.,"Fort Oglethorpe, GA, USA",divorced,1357crm,white,self employed,-,from 40 to 70,1-2 living elsewhere,Bisexual,Christian,social smoker,social drinker,Friendship,USA
4033,female,58 y.o.,"Pensacola, FL, USA",separated,moondreams2006,white,free lance author,-,from 45 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,Romance,USA
4041,female,60 y.o.,"Salt Lake City, UT, USA",divorced,Lulu3,hispanic,Ensamble y empaque,"Soy una persona formal, divertida, buen caracter , trabajadora, cari??osa, honesta, leal, sincera, relacionada con Dios.",from 50 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",USA
4042,male,39 y.o.,"Harker Heights, TX, USA",single,puertoricanp,hispanic,-,-,from 19 to 40,no children,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4044,male,32 y.o.,"Staten Island,  NY, USA",single,javierl234,hispanic,-,-,from 19 to 30,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",USA
4046,male,-,"Somerset, KY, USA",-,metes,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
4058,male,50 y.o.,"Cleveland, OH, USA",single,Lukieman,black,Sub contractor,"Good person love walking talking out
Doors things like
Camping movies
Listening to you.",from 21 to 61,don't want children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance",USA
4065,male,34 y.o.,"Harvey, IL, USA",in relationship,Gavito,hispanic,Operador de makinas,Soy muchacho con mentalidad abierta estoy juntado con alguien ando buscando algo similar buscar algo con m??s emoci??n,from 19 to 71,more than 2 living with me,Straight,Other,non-smoker,occasional drinker,Fun,USA
4066,female,50 y.o.,"Atlanta, GA, USA",single,joycej2,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",USA
4071,male,32 y.o.,"Calimesa, CA, USA",single,EmmanuelA,hispanic,-,-,from 19 to 40,no children,Straight,Other,light smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
4079,female,24 y.o.,"Anderson, SC, USA",single,JesseEst2018,white,-,-,from 19 to 86,want children,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4084,female,48 y.o.,"Columbia, MO, USA",single,raqueld,hispanic,-,-,from 30 to 50,more than 2 living elsewhere,Straight,Spiritual,light smoker,occasional drinker,"Fun, Friendship, Romance",USA
4087,male,66 y.o.,"Rochester, NY, USA",widowed,markopolo998,white,retired cook,"well mannered,morals with values,honesty,sincerity,loyality,good sense of humor,not judgemental or controlling",from 19 to 86,1-2 living elsewhere,Straight,Spiritual,light smoker,occasional drinker,"Friendship, Serious Relationship",USA
4089,female,64 y.o.,"Brooklyn, NY, USA",single,ceciliar2,hispanic,-,-,from 55 to 70,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4095,male,58 y.o.,"Grant, MI 49327, USA",separated,jimp23,white,-,-,from 40 to 60,don't want children,Straight,Christian,light smoker,occasional drinker,"Friendship, Romance, Serious Relationship",USA
4097,male,48 y.o.,"Warminster, PA 18974, USA",single,davee,white,-,-,from 35 to 47,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance",USA
4104,male,51 y.o.,"Chattanooga, TN, USA",divorced,Mahem,white,-,-,from 30 to 52,1-2 living elsewhere,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",USA
4122,male,56 y.o.,"Carrollton, TX, USA",divorced,clarks,white,Truck driver,-,from 40 to 55,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",USA
4128,female,48 y.o.,"Oklahoma City, OK, USA",divorced,Outspokin75,white,-,"I?€?m looking for a honest guy that don?€?t have a problem with my weight, with me be a strong indendent women, I?€?m not asking for nothing but to go out have fun and see we?€?re it goes.im not into some one trying to control me.i have 4 kids but all grown and all but 1 lives with me.",from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship",USA
4143,male,33 y.o.,"Marlborough, MA, USA",single,Hector4667,hispanic,Log??stica,-,from 19 to 37,no children,Homosexual,Christian,non-smoker,social drinker,Serious Relationship,USA
4146,male,51 y.o.,"Takoma Park, MD, USA",single,brianr,white,-,-,from 19 to 40,want children,Straight,Atheist,non-smoker,social drinker,"Serious Relationship, Marriage",USA
4151,female,71 y.o.,"Mesquite, TX, USA",divorced,Nellcmath2018,asian,-,-,from 55 to 63,more than 2 living elsewhere,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",USA
4158,male,51 y.o.,"South Bend, IN, USA",single,Jamescarrico,white,Production floor lead,I like to travel try new things I'm a very happy and kind person I'm one of the good guys.teddy bear if you will.,from 30 to 50,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",USA
4159,male,37 y.o.,"Daytona Beach, FL, USA",divorced,Hossein86,middle eastern,-,-,from 19 to 43,want children,Straight,Other,non-smoker,social drinker,Serious Relationship,USA
4161,male,40 y.o.,"Cocoa, FL 32926, USA",single,PureRico,hispanic,Sales,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
4169,male,37 y.o.,"New York, NY, USA",single,omarv23,hispanic,-,-,from 19 to 50,no children,Straight,Christian,social smoker,social drinker,Serious Relationship,USA
4174,female,53 y.o.,"Providence, NC 27315, USA",divorced,christiaann47,white,unemployed,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,USA
4179,male,75 y.o.,"Jacksonville, FL, USA",divorced,jaxrmark,white,retired,"Single and able,
Not into drama or drugs, just looking for a girl that enjoys quite evenings with a fire, good music and a cocktail.",from 40 to 54,don't want children,Straight,Christian,social smoker,social drinker,"Romance, Serious Relationship",USA
4182,male,44 y.o.,"Greensboro, NC, USA",divorced,Chichi2000,black,Contractor,-,from 19 to 45,no children,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4191,male,71 y.o.,"Amory, MS 38821, USA",widowed,jhowe368,native american,retired,I have an tinder spirit and an romantic heart and I will always show you respect,from 50 to 70,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",USA
4195,male,37 y.o.,"Houston, TX, USA",single,Benz,white,-,-,from 19 to 86,no children,Straight,Other,non-smoker,never,Friendship,USA
4211,male,63 y.o.,"Spokane, WA, USA",divorced,Jagare,white,-,-,from 40 to 58,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",USA
4215,male,44 y.o.,"Doe Run, MO 63637, USA",divorced,Chris79,white,Caregiver,Hi I'm chris.im 39.im divorced with no kids.im looking for a long-term serious drama free relationship.,from 19 to 86,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4226,female,58 y.o.,"Titusville, FL, USA",widowed,Alicel,white,Retired,-,from 46 to 56,1-2 living elsewhere,Straight,Spiritual,social smoker,social drinker,Serious Relationship,USA
4230,male,40 y.o.,"Houston, TX, USA",single,Dummies4you2,hispanic,Pharmacy,-,from 19 to 86,want children,Straight,Other,non-smoker,occasional drinker,"Friendship, Serious Relationship, Marriage",USA
4232,female,42 y.o.,"New York, NY, USA",single,Maritza001,white,Licenciada en Admon de Empresas,Soy una mujer sociablee gustan pasar tiempo con mi fsmilia,from 19 to 86,1-2 living elsewhere,Straight,Spiritual,non-smoker,never,Serious Relationship,USA
4241,male,54 y.o.,"San Marcos, CA, USA",single,Chato69,native american,Artwork,-,from 25 to 45,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",USA
4243,male,45 y.o.,"Everett, WA, USA",separated,BenBeenSeeking,white,Automotive Technician,"I'm an introvert for the most part, and laid back person not into arguing/drama once I'm comfortable. Like car shows, anime, and nature.",from 19 to 86,no children,Straight,Other,chain smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",USA
4247,male,41 y.o.,"Mooresville, NC, USA",single,Migajita,white,Cosina,-,from 55 to 55,no children,Straight,Other,non-smoker,occasional drinker,Friendship,USA
4259,male,69 y.o.,"Elmira, NY, USA",single,injinor79,white,property maintanence,-,from 19 to 86,no children,Straight,Spiritual,non-smoker,never,"Fun, Friendship",USA
4263,male,70 y.o.,"Coeur d'Alene, ID, USA",single,RealMe,white,Retired,-,from 19 to 86,1-2 living elsewhere,Straight,Spiritual,non-smoker,never,"Romance, Serious Relationship",USA
4269,male,55 y.o.,"Denver, CO, USA",single,davidg7,white,-,-,from 30 to 48,want children,Straight,Spiritual,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",USA
4271,female,64 y.o.,"Cocoa Beach, FL 32931, USA",widowed,Gypsywind15,white,Exe,-,from 19 to 86,don't want children,Straight,Christian,non-smoker,social drinker,Serious Relationship,USA
4272,male,70 y.o.,"Springfield, MO, USA",divorced,Me4UnU4me,white,Radio announcer; retired,"Well, you'll just hafta talk to me and find out that I'm too good to be true. See? You already don't believe it. I like to have fun and show a good time and respect to the woman I'm with. Seems that's what many women say they want, but they really want something else.",from 49 to 62,1-2 living elsewhere,Straight,Spiritual,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4274,male,24 y.o.,"Worcester, MA, USA",single,Dreezydrew,white,-,-,from 19 to 25,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",USA
4275,male,54 y.o.,"Joliet, IL, USA",single,josem22,hispanic,-,-,from 28 to 52,more than 2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",USA
4277,female,56 y.o.,"Dover, DE, USA",divorced,mariab2345678,hispanic,-,-,from 50 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,USA
4293,male,52 y.o.,"Norwalk, CT, USA",divorced,Alexis72,hispanic,-,-,from 19 to 86,more than 2 living with me,Straight,Atheist,non-smoker,social drinker,Romance,USA
4295,male,44 y.o.,"Waukegan, IL, USA",single,Chrisv87,hispanic,business owner,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,Friendship,USA
4297,male,66 y.o.,"San Diego, CA, USA",single,panabra,hispanic,costumer service,-,from 50 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,USA
4315,male,29 y.o.,"Newtown Square, PA 19073, USA",single,Joehans944,white,Mechanic,-,from 19 to 45,no children,Straight,Christian,non-smoker,social drinker,"Fun, Romance",USA
4316,female,58 y.o.,"Gainesville, FL, USA",divorced,Awild,native american,Empacadora,-,from 45 to 55,more than 2 living elsewhere,Straight,Other,non-smoker,never,Friendship,USA
4322,male,67 y.o.,"Hollywood, FL, USA",-,garym23456,-,-,-,from 55 to 65,-,-,-,-,-,"Friendship, Romance, Serious Relationship",USA
4327,male,31 y.o.,"Atlanta, GA, USA",single,navarroa,hispanic,-,-,from 22 to 28,no children,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",USA
4329,male,57 y.o.,"Yuba City, CA, USA",separated,Dwc67z,white,Retired,-,from 27 to 50,more than 2 living elsewhere,Straight,Other,light smoker,never,"Fun, Friendship",USA
4342,male,43 y.o.,"Milwaukee, WI, USA",single,Goto1980,hispanic,Auto mechanic,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,Marriage,USA
